verbatim_name,canonical_name,resolved_taxon_id,accepted_canonical_name,source,confidence,gbif_match_type,notes
"Lasioglossum punctatoventre (Crawford, 1907)",lasioglossum punctatoventre,271072,lasioglossum punctatoventre,exact,1.0,,
Lasioglossum reasbeckae,lasioglossum reasbeckae,459112,lasioglossum reasbeckae,exact,1.0,,
Lasioglossum sedi,lasioglossum sedi,459114,lasioglossum sedi,exact,1.0,,
"Lasioglossum sedi (Sandhouse, 1924)",lasioglossum sedi,459114,lasioglossum sedi,exact,1.0,,
"Lasioglossum sequoiae (Michener, 1936)",lasioglossum sequoiae,1339267,lasioglossum sequoiae,exact,1.0,,
Lasioglossum sisymbrii,lasioglossum sisymbrii,222681,lasioglossum sisymbrii,exact,1.0,,
"Lasioglossum tegulariforme (Crawford, 1907)",lasioglossum tegulariforme,271075,lasioglossum tegulariforme,exact,1.0,,
Lasioglossum titusi,lasioglossum titusi,309077,lasioglossum titusi,exact,1.0,,
Lasioglossum zonulus,lasioglossum zonulus,1453118,lasioglossum zonulus,exact,1.0,,
"Macropis steironematis opaca Michener, 1938",macropis steironematis,1308774,macropis steironematis,exact,1.0,,
Megachile angelarum,megachile angelarum,271430,megachile angelarum,exact,1.0,,
"Megachile apicalis Spinola, 1808",megachile apicalis,335714,megachile apicalis,exact,1.0,,
Megachile brevis,megachile brevis,57673,megachile brevis,exact,1.0,,
Megachile brevis brevis,megachile brevis,57673,megachile brevis,exact,1.0,,
"Megachile brevis Say, 1837",megachile brevis,57673,megachile brevis,exact,1.0,,
"Megachile centuncularis (Linnaeus, 1758)",megachile centuncularis,124406,megachile centuncularis,exact,1.0,,
"Megachile concinna Smith, 1879",megachile concinna,308913,megachile concinna,exact,1.0,,
Megachile coquilletti,megachile coquilletti,361566,megachile coquilletti,exact,1.0,,
"Megachile coquilletti Cockerell, 1915",megachile coquilletti,361566,megachile coquilletti,exact,1.0,,
