"canonical_name","host_plant_family","host_plant_detail","host_states","fowler_status"
"dufourea macswaini","","Clarkia Pursh","CA","Rare"
"dufourea malacothricis","","Malacothrix DC.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"dufourea marginata","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Grindelia Willd. , Helianthus L. , Solidago L.","AZ-CA-CO-ID-MT-NM-NV-WY","Uncommon"
"dufourea maura","","Campanula L.","CO-ID-MT-NM-UT-WA-WY","Uncommon-Rare"
"dufourea moldenkei","","Hydrophyllum L.","CA","Rare"
"dufourea monardae","","Monarda L.","CO","Rare"
"dufourea mulleri","","Nemophila Nutt. , Phacelia Juss.","AZ-CA-NV-NM-OR-UT-WY","Uncommon-Rare"
"dufourea nemophilae","","Nemophila Nutt. , Phacelia Juss.","CA","Rare"
"dufourea nudicornis","","Camissonia Link","AZ-CA-NV","Rare"
"dufourea oenotherae","","Camissonia Link","CA","Rare"
"dufourea orovada","","Camissonia Link","CA-ID-NV-UT","Rare"
"dufourea pectinipes","","Mimulus L.","CA","Rare"
"dufourea pulchricornis","Brassicaceae","Brassicaceae : Lepidium L.","AZ-NM","Uncommon-Rare"
"dufourea scintilla","","Camissonia Link","CA","Rare"
"dufourea sparsipunctata","Onagraceae","Onagraceae : Camissonia Link , Clarkia Pursh , Oenothera L.","CA","Rare"
"dufourea spilura","","Gayophytum A. Juss.","CA","Rare"
"dufourea subdavidsoni","","Gayophytum A. Juss.","CA-ID-NV-UT-WY","Uncommon-Rare"
"dufourea trochantera","","Phacelia Juss.","CA-ID-NV-OR-UT-WA-WY","Uncommon-Rare"
"dufourea truncata","","Camissonia Link","CA","Rare"
"dufourea tuolumne","","Linanthus Benth.","CA","Rare"
"dufourea vanduzeei","","Linanthus Benth.","CA","Rare"
"dufourea vandykei","","Sphaeralcea A. St.-Hil.","AZ-CA-NV-UT","Rare"
"dufourea versatilis","","Mimulus L.","CA-ID-NV-OR","Rare"
